id,name,type,height,latitude,longitude,url
194,Stob Coire Sgreamhach,munro,1072,56.638314,-5.010284,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=194
195,Beinn a' Bheithir - Sgorr Dhearg,munro,1024.2,56.65393,-5.171511,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=195
196,Buachaille Etive Mor - Stob Dearg,munro,1021.4,56.646228,-4.900377,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=196
198,Beinn a' Bheithir - Sgorr Dhonuill,munro,1002.1,56.650531,-5.19789,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=198
199,Sgurr na h-Ulaidh [Sgor na h-Ulaidh],munro,994,56.619796,-5.08006,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=199
201,Beinn Fhionnlaidh,munro,959,56.600978,-5.104749,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=201
202,Buachaille Etive Beag - Stob Dubh,munro,958,56.638159,-4.970747,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=202
203,Buachaille Etive Mor - Stob na Broige,munro,953.4,56.629879,-4.951162,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=203
207,Beinn Sgulaird,munro,937,56.56624,-5.170399,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=207
209,Buachaille Etive Beag - Stob Coire Raineach,munro,924.5,56.649895,-4.951601,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=209
232,Ben Cruachan,munro,1127,56.426841,-5.131802,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=232
233,Meall a' Bhuiridh,munro,1107.9,56.612216,-4.852159,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=233
235,Creise,munro,1099.8,56.614448,-4.871987,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=235
237,Stob Ghabhar,munro,1089.2,56.568103,-4.882099,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=237
238,Ben Starav,munro,1079.5,56.538922,-5.049748,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=238
241,Stob Coir' an Albannaich,munro,1044.9,56.554903,-4.979809,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=241
244,Stob Daimh [Stob Diamh],munro,999.2,56.431336,-5.091319,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=244
245,Glas Bheinn Mhor,munro,997.7,56.542434,-5.005252,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=245
249,Beinn Eunaich,munro,989,56.450352,-5.026639,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=249
251,Beinn a' Chochuill,munro,980,56.44979,-5.068552,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=251
254,Beinn nan Aighenan,munro,959,56.520349,-5.011178,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=254
255,Stob a' Choire Odhair,munro,945,56.573308,-4.838302,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=255
258,Meall nan Eun,munro,928.1,56.561176,-4.942926,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=258
278,Ben Nevis [Beinn Nibheis],munro,1344.53,56.796891,-5.003675,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=278
279,Aonach Beag,munro,1234,56.799998,-4.954138,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=279
281,Aonach Mor,munro,1220.4,56.812941,-4.961712,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=281
282,Carn Mor Dearg,munro,1220,56.805246,-4.986616,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=282
285,Stob Choire Claurigh,munro,1177,56.823786,-4.849624,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=285
287,Binnein Mor,munro,1130,56.754376,-4.925796,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=287
289,Stob Coire an Laoigh,munro,1116,56.810877,-4.884907,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=289
290,Stob Coire Easain,munro,1115,56.818199,-4.77371,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=290
292,Stob a' Choire Mheadhoin,munro,1105,56.823684,-4.760199,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=292
295,Sgurr a' Mhaim,munro,1099,56.75592,-5.00369,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=295
296,Sgurr Choinnich Mor,munro,1094,56.80043,-4.90396,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=296
301,Na Gruagaichean,munro,1054.3,56.743699,-4.939851,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=301
303,Am Bodach,munro,1031.8,56.74173,-4.98337,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=303
305,Sgurr Eilde Mor,munro,1010,56.750006,-4.895435,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=305
309,Stob Ban,munro,999.7,56.743706,-5.030328,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=309
312,An Gearanach,munro,981.5,56.759172,-4.96623,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=312
313,Stob Coire a' Chairn,munro,981.3,56.750756,-4.968985,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=313
314,Stob Ban,munro,977,56.810656,-4.840877,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=314
320,Binnein Beag,munro,943,56.766961,-4.911161,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=320
321,Mullach nan Coirean,munro,939.3,56.749866,-5.072446,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=321
345,Ben Alder,munro,1148,56.813804,-4.46509,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=345
346,Geal-charn,munro,1132,56.837836,-4.509694,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=346
347,Aonach Beag,munro,1115.8,56.833498,-4.529175,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=347
348,Beinn Eibhinn,munro,1103.3,56.825255,-4.542077,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=348
349,Beinn a' Chlachair,munro,1087.8,56.869534,-4.509668,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=349
350,Geal Charn,munro,1049.7,56.897763,-4.457236,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=350
351,Chno Dearg,munro,1046,56.830077,-4.66083,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=351
352,Carn Dearg,munro,1034,56.855242,-4.454693,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=352
354,Beinn Bheoil,munro,1019,56.813276,-4.430662,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=354
356,Stob Coire Sgriodain,munro,979,56.831744,-4.694934,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=356
361,Sgor Gaibhre,munro,955,56.772553,-4.546498,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=361
363,Carn Dearg,munro,941,56.759931,-4.589888,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=363
364,Beinn na Lap,munro,935,56.78939,-4.659977,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=364
367,Creag Pitridh,munro,924.5,56.899712,-4.484972,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=367
383,Beinn Udlamain,munro,1010.2,56.835444,-4.329976,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=383
384,Sgairneach Mhor,munro,991,56.828447,-4.297792,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=384
386,A' Mharconaich,munro,973.2,56.857002,-4.290668,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=386
388,Meall Chuaich,munro,950.8,56.96385,-4.112568,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=388
389,Carn na Caim,munro,940.8,56.911722,-4.174444,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=389
390,A' Bhuidheanach Bheag,munro,936.1,56.870342,-4.199001,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=390
392,Geal-charn,munro,917.1,56.874433,-4.304519,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=392
406,Beinn Dearg,munro,1008.7,56.877346,-3.883719,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=406
407,An Sgarsoch,munro,1006.5,56.932109,-3.754294,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=407
408,Carn an Fhidhleir [Carn Ealar],munro,994,56.936029,-3.801535,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=408
409,Carn a' Chlamain,munro,963.5,56.860965,-3.779634,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=409
