id,name,latitude,longitude
1,,56.453851,-3.992057
17,,56.34268,-4.219464
18,,56.329315,-4.237533
26,,56.385952,-4.540087
27,,56.370717,-4.535753
30,,56.356438,-4.576152
31,,56.338618,-4.62437
32,,56.190302,-4.63301
35,,56.342234,-4.563315
38,,56.325779,-4.641476
65,,56.397004,-4.810509
67,,56.389027,-4.775179
68,,56.236794,-4.817125
69,,56.391295,-4.743193
70,,56.326686,-4.906709
71,,56.274021,-4.755046
74,,56.220956,-4.789003
75,,56.39023,-4.83563
76,,56.249786,-4.781655
103,,56.666942,-4.10023
104,,56.560387,-4.647589
105,,56.50287,-4.722173
107,,56.634635,-4.145624
108,,56.551909,-4.694515
109,,56.622537,-4.226021
112,,56.53013,-4.713981
115,,56.620627,-4.128741
118,,56.637381,-4.207472
120,,56.570907,-4.470602
122,,56.534032,-4.646042
123,,56.617231,-4.448608
141,,56.544921,-4.220876
142,,56.560084,-4.216248
143,,56.566131,-4.207698
144,,56.535996,-4.236992
145,,56.510254,-4.579217
146,,56.540955,-4.25347
148,,56.489519,-4.614038
149,,56.521673,-4.301344
150,,56.525809,-4.416654
152,,56.454573,-4.619184
154,,56.567417,-4.159559
158,,56.455711,-4.546837
163,,56.566312,-4.259617
165,,56.453157,-4.495638
178,,56.679387,-5.037143
179,,56.68074,-5.003235
191,,56.642759,-5.029335
194,,56.638314,-5.010284
195,,56.65393,-5.171511
196,,56.646228,-4.900377
198,,56.650531,-5.19789
199,,56.619796,-5.08006
201,,56.600978,-5.104749
202,,56.638159,-4.970747
203,,56.629879,-4.951162
207,,56.56624,-5.170399
209,,56.649895,-4.951601
232,,56.426841,-5.131802
233,,56.612216,-4.852159
235,,56.614448,-4.871987
237,,56.568103,-4.882099
238,,56.538922,-5.049748
241,,56.554903,-4.979809
244,,56.431336,-5.091319
245,,56.542434,-5.005252
249,,56.450352,-5.026639
251,,56.44979,-5.068552
254,,56.520349,-5.011178
255,,56.573308,-4.838302
258,,56.561176,-4.942926
278,,56.796891,-5.003675
279,,56.799998,-4.954138
281,,56.812941,-4.961712
282,,56.805246,-4.986616
285,,56.823786,-4.849624
287,,56.754376,-4.925796
289,,56.810877,-4.884907
290,,56.818199,-4.77371
292,,56.823684,-4.760199
295,,56.75592,-5.00369
296,,56.80043,-4.90396
301,,56.743699,-4.939851
303,,56.74173,-4.98337
305,,56.750006,-4.895435
309,,56.743706,-5.030328
312,,56.759172,-4.96623
313,,56.750756,-4.968985
314,,56.810656,-4.840877
320,,56.766961,-4.911161
321,,56.749866,-5.072446
345,,56.813804,-4.46509
346,,56.837836,-4.509694
347,,56.833498,-4.529175
348,,56.825255,-4.542077
349,,56.869534,-4.509668
350,,56.897763,-4.457236
351,,56.830077,-4.66083
352,,56.855242,-4.454693
354,,56.813276,-4.430662
356,,56.831744,-4.694934
361,,56.772553,-4.546498
363,,56.759931,-4.589888
364,,56.78939,-4.659977
367,,56.899712,-4.484972
383,,56.835444,-4.329976
384,,56.828447,-4.297792
386,,56.857002,-4.290668
388,,56.96385,-4.112568
389,,56.911722,-4.174444
390,,56.870342,-4.199001
392,,56.874433,-4.304519
406,,56.877346,-3.883719
407,,56.932109,-3.754294
408,,56.936029,-3.801535
409,,56.860965,-3.779634
421,,56.839846,-3.688022
422,,56.831101,-3.729489
424,,56.865757,-3.558163
425,,56.894994,-3.568229
426,,56.876583,-3.595273
428,,56.873065,-3.466616
429,,56.80777,-3.74409
432,,56.930558,-3.560897
433,,56.902286,-3.513164
435,,56.87952,-3.421199
438,,56.895696,-3.423274
457,,56.960272,-3.245261
459,,56.945773,-3.272707
461,,56.873059,-3.368236
463,,56.894179,-3.338638
465,,56.942973,-3.303227
467,,56.908265,-3.357125
468,,56.927728,-3.278403
470,,56.919148,-3.249082
472,,56.85464,-3.387768
479,,56.904724,-3.297946
480,,56.893624,-3.292357
483,,56.848003,-3.196539
485,,56.96976,-2.973622
486,,56.848936,-3.246316
518,,57.070368,-3.669099
519,,57.078307,-3.72839
521,,57.054406,-3.710757
523,,57.058376,-3.725897
525,,57.116714,-3.644477
529,,57.08759,-3.499383
531,,57.095849,-3.611464
536,,57.099347,-3.434438
538,,57.009868,-3.723797
539,,57.062801,-3.622004
548,,57.068561,-3.810856
549,,57.0268,-3.75007
557,,57.13822,-3.584716
559,,57.093272,-3.577434
567,,57.036871,-3.658384
571,,57.011879,-3.841271
575,,57.03571,-3.688803
587,,57.055072,-3.553472
621,,57.092261,-4.253246
623,,57.109564,-4.179285
624,,57.057418,-4.373572
626,,57.124371,-4.176986
658,,56.952023,-4.602117
662,,56.964037,-4.585762
663,,56.928624,-4.653644
668,,56.978793,-4.515289
675,,56.935932,-4.694754
683,,57.097163,-5.238035
684,,57.105849,-5.330509
685,,57.12464,-5.221291
687,,57.13687,-5.281531
688,,57.162395,-5.414721
690,,57.141288,-5.297466
691,,57.088964,-5.193614
692,,57.126794,-5.182841
693,,57.12756,-5.252651
695,,57.153815,-5.579727
700,,57.120971,-5.160048
701,,57.147088,-5.396699
708,,57.147262,-5.33496
730,,57.013468,-5.456905
731,,57.075263,-5.591745
732,,57.008556,-5.444322
733,,57.028446,-5.354206
736,,57.007158,-5.40544
737,,57.031543,-5.546333
739,,57.048325,-5.513607
741,,57.044879,-5.255827
758,,57.00784,-4.928747
