id,name,type,height,latitude,longitude,url
2396,High Raise [High White Stones],wainwright,762,54.475962,-3.111268,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2396
2397,Slight Side,wainwright,762,54.434392,-3.219575,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2397
2399,Red Pike (Buttermere),wainwright,755.3,54.527438,-3.298545,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2399
2400,Dale Head,wainwright,753,54.527238,-3.202284,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2400
2401,High Crag (Buttermere),wainwright,744.8,54.514628,-3.267412,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2401
2405,Robinson,wainwright,737,54.540803,-3.235082,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2405
2406,Harrison Stickle,wainwright,736,54.456898,-3.109455,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2406
2407,Sergeant Man,wainwright,736,54.470362,-3.102552,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2407
2411,Hindscarth,wainwright,727,54.537828,-3.213755,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2411
2412,Ullscarf,wainwright,723,54.499914,-3.095534,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2412
2413,Thunacar Knott,wainwright,723,54.462189,-3.112653,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2413
2416,Brandreth,wainwright,715,54.496479,-3.214274,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2416
2417,Pike of Stickle,wainwright,708.4,54.456393,-3.121381,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2417
2418,Whiteside [Whiteside West Top],wainwright,707,54.585912,-3.285161,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2418
2419,Pike of Blisco,wainwright,705,54.428102,-3.124925,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2419
2422,Cold Pike,wainwright,700.1,54.4226,-3.137582,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2422
2423,Pavey Ark,wainwright,700,54.461494,-3.105214,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2423
2424,Grey Knotts,wainwright,697,54.502362,-3.210186,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2424
2425,Caw Fell,wainwright,697,54.486868,-3.341256,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2425
2427,Seatallan,wainwright,692,54.464056,-3.328274,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2427
2430,Loft Crag,wainwright,681.7,54.454429,-3.115991,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2430
2432,Scar Crags,wainwright,672,54.574968,-3.225951,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2432
2434,Whiteless Pike,wainwright,660,54.559367,-3.26931,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2434
2436,High Spy,wainwright,653.1,54.535568,-3.185141,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2436
