id,name,latitude,longitude
2319,,54.651391,-3.147761
2320,,54.639949,-3.049789
2321,,54.639911,-3.137629
2325,,54.642398,-3.155984
2326,,54.645505,-3.165618
2327,,54.634357,-3.108518
2328,,54.686982,-3.093322
2329,,54.665538,-3.035037
2330,,54.648261,-3.172486
2331,,54.67077,-3.101074
2332,,54.65195,-3.031731
2333,,54.666365,-3.139097
2336,,54.693484,-3.02287
2337,,54.705416,-3.058742
2338,,54.695145,-3.100989
2340,,54.653232,-3.068359
2344,,54.70642,-3.105361
2345,,54.627823,-3.233984
2346,,54.693795,-3.113923
2347,,54.689677,-3.128766
2348,,54.653236,-3.001663
2349,,54.63561,-3.172122
2350,,54.708411,-3.125313
2351,,54.708795,-3.204188
2352,,54.612432,-3.117863
2359,,54.454263,-3.211682
2360,,54.447498,-3.224731
2364,,54.46494,-3.194548
2365,,54.447816,-3.166242
2367,,54.482084,-3.219296
2368,,54.497479,-3.281134
2369,,54.457172,-3.179219
2371,,54.433704,-3.159813
2372,,54.571635,-3.277905
2373,,54.490904,-3.299239
2374,,54.571762,-3.250234
2378,,54.483922,-3.289879
2379,,54.493389,-3.302174
2382,,54.462794,-3.221315
2383,,54.483323,-3.244123
2384,,54.485699,-3.213769
2385,,54.484568,-3.321576
2386,,54.591745,-3.242071
2388,,54.466367,-3.179175
2389,,54.483839,-3.165338
2393,,54.571328,-3.241821
2394,,54.566272,-3.257089
2395,,54.588082,-3.261675
2396,,54.475962,-3.111268
2397,,54.434392,-3.219575
2399,,54.527438,-3.298545
2400,,54.527238,-3.202284
2401,,54.514628,-3.267412
2405,,54.540803,-3.235082
2406,,54.456898,-3.109455
2407,,54.470362,-3.102552
2411,,54.537828,-3.213755
2412,,54.499914,-3.095534
2413,,54.462189,-3.112653
2416,,54.496479,-3.214274
2417,,54.456393,-3.121381
2418,,54.585912,-3.285161
2419,,54.428102,-3.124925
2422,,54.4226,-3.137582
2423,,54.461494,-3.105214
2424,,54.502362,-3.210186
2425,,54.486868,-3.341256
2427,,54.464056,-3.328274
2430,,54.454429,-3.115991
2432,,54.574968,-3.225951
2434,,54.559367,-3.26931
2436,,54.535568,-3.185141
2437,,54.457935,-3.159804
2438,,54.516562,-3.22818
2439,,54.492581,-3.197762
2442,,54.576817,-3.210133
2445,,54.529725,-3.327207
2450,,54.464889,-3.27686
2451,,54.534903,-3.355442
2454,,54.43293,-3.282634
2455,,54.552623,-3.103764
2456,,54.480998,-3.191249
2457,,54.507243,-3.247321
2458,,54.56637,-3.106177
2459,,54.453249,-3.311327
2460,,54.566938,-3.228123
2461,,54.553174,-3.181585
2462,,54.564569,-3.377198
2463,,54.492531,-3.122463
2464,,54.582169,-3.222159
2465,,54.558701,-3.242613
2466,,54.49115,-3.052179
2467,,54.502198,-3.14685
2468,,54.474295,-3.076006
2469,,54.411026,-3.185029
2470,,54.461076,-3.078806
2471,,54.494811,-3.403973
2472,,54.484231,-3.079493
2473,,54.420162,-3.309916
2474,,54.554011,-3.367472
2475,,54.499056,-3.12048
2476,,54.516717,-3.396073
2477,,54.614855,-3.254033
2478,,54.53886,-3.100209
2479,,54.555581,-3.318258
2480,,54.632165,-3.247904
2481,,54.550848,-3.343261
2482,,54.513766,-3.41488
2483,,54.532026,-3.089702
2484,,54.575943,-3.37834
2485,,54.432067,-3.07641
2486,,54.629665,-3.218084
2487,,54.559231,-3.07872
2488,,54.58566,-3.19752
2489,,54.627991,-3.277642
2490,,54.568316,-3.1707
2491,,54.522189,-3.129333
2493,,54.591358,-3.336608
2494,,54.48107,-3.055825
2495,,54.60582,-3.344699
2496,,54.536408,-3.137963
2497,,54.443165,-3.334275
2498,,54.475026,-3.040823
2499,,54.450687,-3.04289
2500,,54.581608,-3.120377
2501,,54.645249,-3.272325
2502,,54.552643,-3.289032
2503,,54.655627,-3.250157
2507,,54.437454,-3.008355
2508,,54.405503,-3.017955
2510,,54.533181,-3.161612
2515,,54.527001,-3.017514
2517,,54.518993,-3.015446
2518,,54.533472,-3.008944
2520,,54.547718,-3.017473
2521,,54.497054,-2.991648
2523,,54.540904,-3.025063
2524,,54.508693,-3.011175
2525,,54.575689,-3.019377
2526,,54.561128,-3.017405
2527,,54.51194,-2.975836
2528,,54.491691,-2.86486
2529,,54.492752,-2.976954
2530,,54.513367,-2.853779
2532,,54.508092,-2.861252
2533,,54.4854,-2.96693
2534,,54.566917,-3.028995
2535,,54.482611,-2.878976
2536,,54.505513,-2.854959
2537,,54.476414,-2.835323
2538,,54.470589,-2.932572
2539,,54.484906,-2.995692
2540,,54.48206,-2.90008
2541,,54.483418,-2.854112
2542,,54.462017,-2.870837
2543,,54.568719,-2.992938
2544,,54.506316,-2.870821
2545,,54.494857,-3.014027
2546,,54.462682,-2.826034
2547,,54.593661,-3.032362
2548,,54.468949,-2.872974
2549,,54.535033,-2.98532
2550,,54.482669,-2.807575
2551,,54.452928,-2.868731
2552,,54.497457,-2.885363
2553,,54.514937,-2.878033
2554,,54.554936,-2.977002
2556,,54.554737,-2.842087
2557,,54.543239,-2.842453
2559,,54.463458,-2.790658
2561,,54.544269,-2.920725
2562,,54.470976,-2.966791
2563,,54.49308,-2.787925
2564,,54.477939,-2.931566
2565,,54.457874,-2.777191
2566,,54.481916,-2.947169
2570,,54.520711,-2.959051
2572,,54.498538,-2.910448
2573,,54.466072,-2.995142
2574,,54.448577,-2.814707
2577,,54.528893,-2.875675
2578,,54.499595,-2.953955
2579,,54.525312,-2.907999
2582,,54.514891,-2.902593
2583,,54.619846,-2.935641
2584,,54.578426,-2.835799
2588,,54.573028,-2.846935
2589,,54.488623,-2.937675
2590,,54.428122,-2.869995
2595,,54.54649,-2.884399
2596,,54.46206,-2.967985
2598,,54.608024,-2.894465
2601,,54.474276,-3.008366
2607,,54.438194,-2.921751
2609,,54.421166,-2.883595
2610,,54.58811,-2.918201
2611,,54.456414,-2.995849
2612,,54.54947,-2.959246
2614,,54.526364,-2.938524
2615,,54.555245,-2.866807
2623,,54.570412,-2.878498
2626,,54.449952,-2.892312
2627,,54.588432,-3.071568
2634,,54.370658,-3.121445
2635,,54.395257,-3.121515
2636,,54.377283,-3.124197
2637,,54.398777,-3.124738
2638,,54.3703,-3.136659
2639,,54.393339,-3.141054
2640,,54.400488,-3.097966
2643,,54.386916,-3.204523
2655,,54.373697,-3.232801
2673,,54.396301,-3.056527
3728,,54.521578,-3.287667
